Metabolites,FC,pvalue
MEDP0529,1.03725932,0.520480588
MEDP0535,0.961105015,0.590047087
MEDP0545,0.890816956,0.454619286
MEDP0576,1.452283456,0.285864542
MEDP0598,0.966023392,0.475700603
MEDP0617,0.789702036,0.420724956
MEDP0627,0.906895224,0.196620537
MEDP0637,0.941153075,0.393845788
MEDP0658,0.967634369,0.858891254
MEDP0685,0.943128442,0.345127853
MEDP0792,0.905950011,0.056632171
MEDP0831,0.798092832,0.798524008
MEDP0881,1.005189769,0.926811168
MEDP0889,1.053304311,0.352456963
MEDP0891,0.882001357,0.342664188
MEDP0894,1.042813793,0.310298227
MEDP1002,1.032950473,0.676946953
MEDP1003,1.001314454,0.985828694
MEDP1020,1.389023255,0.730125211
MEDP1032,1.197015486,0.875437668
MEDP1033,0.997697654,0.9755273
MEDP1061,0.997288353,0.95093809
MEDP1062,0.953122613,0.480270698
MEDP1068,0.960184364,0.534858541
MEDP1072,1.119572316,0.196620537
MEDP1073,1.076652499,0.113097866
MEDP1077,1.040102869,0.928513088
MEDP1083,0.899248439,0.153004046
MEDP1096,0.950604231,0.54406969
MEDP1100,0.95799127,0.529039441
MEDP1127,0.943915029,0.480270698
MEDP1132,1.032950473,0.676946953
MEDP1144,0.938416935,0.392836615
MEDP1146,0.96051551,0.578011127
MEDP1161,0.959018989,0.623183159
MEDP1165,0.96051551,0.578011127
MEDP1171,1.085346516,0.474384451
MEDP1177,1.102879471,0.735524856
MEDP1178,1.004725411,0.985828694
MEDP1194,0.976361769,0.556353944
MEDP1196,0.893001421,0.17217119
MEDP1203,0.964488628,0.599136662
MEDP1211,1.061682124,0.334745451
MEDP1212,1.025845192,0.809550249
MEDP1221,0.968149735,0.334745451
MEDP1228,0.889206306,0.125885375
MEDP1234,1.313256744,0.829534938
MEDP1242,1.02883517,0.944792164
MEDP1243,0.245168474,0.944792164
MEDP1247,0.982577274,0.483730282
MEDP1251,1.014357627,0.944792164
MEDP1272,0.961406605,0.251213356
MEDP1273,1.020305416,0.906326575
MEDP1274,1.699645668,0.031832955
MEDP1298,0.993276263,0.983780629
MEDP1304,0.869656399,0.764346379
MEDP1331,0.960595086,0.877237844
MEDP1333,1.029791706,0.82042131
MEDP1343,0.968797688,0.74249072
MEDP1373,0.966377991,0.917444294
MEDP1394,1.016814159,0.816137101
MEDP1396,1.571474271,0.661233157
MEDP1400,1.215160751,0.146330819
MEDP1404,1.107050659,0.75569319
MEDP1408,1.251963605,0.598654975
